landtype,spp,poolID,decayRate_litReview,decayRate_Hararuk,decayRate_CBM,q10_Hararuk,q10_CBM
436,ACER.RUB,8,0.08,0.014,0.019,1.83,2
436,ACER.RUB,9,0,0.047,0.072,2.004,2
436,ACER.RUB,10,0,0.01,0.01,2,2
437,ACER.RUB,1,0,0.345,0.355,2.415,2.65
437,ACER.RUB,2,0,0.349,0.5,2.031,2
437,ACER.RUB,3,0,0.225,0.144,1.154,2
437,ACER.RUB,4,0,0.23,0.144,2.029,2
437,ACER.RUB,5,0.095,0.064,0.037,1.534,2
437,ACER.RUB,6,0.022,0.022,0.015,2.14,2.65
437,ACER.RUB,7,0.004,0.004,0.003,1.231,1
437,ACER.RUB,8,0.08,0.014,0.019,1.83,2
437,ACER.RUB,9,0,0.047,0.072,2.004,2
437,ACER.RUB,10,0,0.01,0.01,2,2
438,ACER.RUB,1,0,0.345,0.355,2.415,2.65
438,ACER.RUB,2,0,0.349,0.5,2.031,2
438,ACER.RUB,3,0,0.225,0.144,1.154,2
438,ACER.RUB,4,0,0.23,0.144,2.029,2
438,ACER.RUB,5,0.095,0.064,0.037,1.534,2
438,ACER.RUB,6,0.022,0.022,0.015,2.14,2.65
438,ACER.RUB,7,0.004,0.004,0.003,1.231,1
438,ACER.RUB,8,0.08,0.014,0.019,1.83,2
438,ACER.RUB,9,0,0.047,0.072,2.004,2
438,ACER.RUB,10,0,0.01,0.01,2,2
439,ACER.RUB,1,0,0.345,0.355,2.415,2.65
439,ACER.RUB,2,0,0.349,0.5,2.031,2
439,ACER.RUB,3,0,0.225,0.144,1.154,2
439,ACER.RUB,4,0,0.23,0.144,2.029,2
439,ACER.RUB,5,0.095,0.064,0.037,1.534,2
439,ACER.RUB,6,0.022,0.022,0.015,2.14,2.65
439,ACER.RUB,7,0.004,0.004,0.003,1.231,1
439,ACER.RUB,8,0.08,0.014,0.019,1.83,2
439,ACER.RUB,9,0,0.047,0.072,2.004,2
439,ACER.RUB,10,0,0.01,0.01,2,2
440,ACER.RUB,1,0,0.345,0.355,2.415,2.65
440,ACER.RUB,2,0,0.349,0.5,2.031,2
440,ACER.RUB,3,0,0.225,0.144,1.154,2
440,ACER.RUB,4,0,0.23,0.144,2.029,2
440,ACER.RUB,5,0.095,0.064,0.037,1.534,2
440,ACER.RUB,6,0.022,0.022,0.015,2.14,2.65
440,ACER.RUB,7,0.004,0.004,0.003,1.231,1
440,ACER.RUB,8,0.08,0.014,0.019,1.83,2
440,ACER.RUB,9,0,0.047,0.072,2.004,2
440,ACER.RUB,10,0,0.01,0.01,2,2
